x_value,data,fitted_data
0,4.78587,4.60723
1,4.91183,4.60723
2,4.82733,4.60723
3,4.82662,4.60723
4,4.90393,4.60723
5,4.81497,4.60723
6,4.75746,4.60723
7,4.89995,4.60723
8,4.86313,4.60723
9,4.80225,4.60723
10,4.78917,4.60723
11,4.77123,4.60723
12,4.79315,4.60723
13,4.7445,4.60723
14,4.90214,4.60723
15,4.74409,4.60723
16,4.6855,4.60723
17,4.76331,4.60723
18,4.59184,4.60723
19,4.86887,4.60723
20,4.68902,4.60723
21,4.63885,4.60723
22,4.69804,4.60723
23,4.76487,4.60723
24,4.61276,4.60723
25,4.66204,4.60723
26,4.59714,4.60723
27,4.68105,4.60723
28,4.64773,4.60723
29,4.57109,4.60723
30,4.63462,4.60723
31,4.70875,4.60723
32,4.65508,4.60723
33,4.64828,4.60723
34,4.5905,4.60723
35,4.57039,4.60723
36,4.4918,4.60723
37,4.59927,4.60723
38,4.49432,4.60723
39,4.5579,4.60723
40,4.54812,4.60723
41,4.42431,4.60723
42,4.54646,4.60723
43,4.52483,4.60723
44,4.47633,4.60723
45,4.43501,4.60723
46,4.47363,4.60723
47,4.50086,4.60723
48,4.48328,4.60723
49,4.50981,4.60723
50,4.42303,4.60723
51,4.4677,4.60723
52,4.45266,4.60723
53,4.42357,4.60723
54,4.43198,4.60723
55,4.44787,4.60723
56,4.41838,4.60723
57,4.38453,4.60723
58,4.3957,4.60723
59,4.40732,4.60723
60,4.41111,4.60723
61,4.41909,4.60723
62,4.42924,4.60723
63,4.3636,4.60723
64,4.35417,4.60723
65,4.37946,4.60723
66,4.34751,4.60723
67,4.40418,4.60723
68,4.35307,4.60723
69,4.3262,4.60723
70,4.3476,4.60723
71,4.35482,4.60723
72,4.32465,4.60723
73,4.35316,4.60724
74,4.36574,4.60728
75,4.38899,4.60742
76,4.44055,4.60787
77,4.45739,4.60928
78,4.57484,4.61327
79,4.62497,4.62385
80,4.82107,4.64989
81,5.01758,4.70944
82,5.33748,4.83575
83,5.75058,5.08402
84,6.25472,5.53559
85,7.08461,6.29411
86,7.96524,7.46766
87,9.15585,9.13372
88,10.8896,11.2918
89,13.1822,13.8195
90,15.7664,16.4551
91,18.5103,18.8272
92,21.1057,20.5344
93,22.2213,21.2551
94,21.3497,20.8463
95,18.9271,19.3897
96,16.8713,17.165
97,13.744,14.5627
98,12.0992,11.9725
99,9.47495,9.69237
100,8.19029,7.88363
101,7.06777,6.57725
102,6.11041,5.71265
103,5.59785,5.18608
104,5.07647,4.8901
105,4.90895,4.73623
106,4.70571,4.66213
107,4.57622,4.62903
108,4.45777,4.61531
109,4.44806,4.61002
110,4.38041,4.60813
111,4.3667,4.6075
112,4.37891,4.6073
113,4.3701,4.60725
114,4.35125,4.60723
115,4.31902,4.60723
116,4.34435,4.60723
117,4.3422,4.60723
118,4.32162,4.60723
119,4.34635,4.60723
120,4.36062,4.60723
121,4.31859,4.60723
122,4.3792,4.60723
123,4.34864,4.60723
124,4.3821,4.60723
125,4.36239,4.60723
126,4.40071,4.60723
127,4.41327,4.60723
128,4.4274,4.60723
129,4.41184,4.60723
130,4.43207,4.60723
131,4.40048,4.60723
132,4.51514,4.60723
133,4.49173,4.60723
134,4.43871,4.60723
135,4.43539,4.60723
136,4.45966,4.60723
137,4.41483,4.60723
138,4.47192,4.60723
139,4.50124,4.60723
140,4.4782,4.60723
141,4.51246,4.60723
142,4.41831,4.60723
143,4.48879,4.60723
144,4.47746,4.60723
145,4.5371,4.60723
146,4.48759,4.60723
147,4.53594,4.60723
148,4.50683,4.60723
149,4.50945,4.60723
150,4.53076,4.60723
151,4.54778,4.60723
152,4.55324,4.60723
153,4.54206,4.60723
154,4.60341,4.60723
155,4.49555,4.60723
156,4.61053,4.60723
157,4.56344,4.60723
158,4.58474,4.60723
159,4.53866,4.60723
160,4.63735,4.60723
161,4.69766,4.60723
162,4.59391,4.60723
163,4.56298,4.60723
164,4.6792,4.60723
165,4.68217,4.60723
166,4.67323,4.60723
167,4.71947,4.60723
168,4.68738,4.60723
169,4.66024,4.60723
170,4.59184,4.60723
171,4.73702,4.60723
172,4.68421,4.60723
173,4.75345,4.60723
174,4.75403,4.60723
175,4.77259,4.60723
176,4.75466,4.60723
177,4.80171,4.60723
178,4.73265,4.60723
179,4.60941,4.60723
180,4.74373,4.60723
181,4.79962,4.60723
182,4.84442,4.60723
183,4.85306,4.60723
184,4.78077,4.60723
185,4.81236,4.60723
186,4.71857,4.60723
187,4.9247,4.60723
188,4.89516,4.60723
189,5.02445,4.60723
190,4.94085,4.60723
191,4.89386,4.60723
192,4.86141,4.60723
193,5.02393,4.60723
194,4.8769,4.60723
195,4.99654,4.60723
196,4.95875,4.60723
197,4.83442,4.60723
198,4.99868,4.60723
199,4.87857,4.60723
Final offset,Final height,Final width,Final center
4.60723,16.6592,3.80365,93.1403
