x_value,data,fitted_data
0,0.000416,0.000427032
1,0.000417,0.000427032
2,0.000416,0.000427032
3,0.000416,0.000427032
4,0.000416,0.000427032
5,0.000417,0.000427032
6,0.000416,0.000427032
7,0.000416,0.000427032
8,0.000416,0.000427032
9,0.000418,0.000427032
10,0.000418,0.000427032
11,0.000417,0.000427032
12,0.000417,0.000427032
13,0.00042,0.000427032
14,0.000417,0.000427032
15,0.000416,0.000427032
16,0.000418,0.000427032
17,0.000416,0.000427032
18,0.000417,0.000427032
19,0.000419,0.000427032
20,0.000416,0.000427032
21,0.000417,0.000427032
22,0.000418,0.000427032
23,0.000417,0.000427032
24,0.000417,0.000427032
25,0.000419,0.000427032
26,0.000417,0.000427032
27,0.000418,0.000427032
28,0.000418,0.000427032
29,0.000417,0.000427032
30,0.000418,0.000427032
31,0.000418,0.000427032
32,0.000418,0.000427032
33,0.000419,0.000427032
34,0.000419,0.000427032
35,0.000418,0.000427032
36,0.000419,0.000427032
37,0.000419,0.000427032
38,0.000419,0.000427032
39,0.000419,0.000427032
40,0.00042,0.000427032
41,0.00042,0.000427032
42,0.000421,0.000427032
43,0.000421,0.000427032
44,0.000421,0.000427032
45,0.000425,0.000427032
46,0.000423,0.000427032
47,0.000424,0.000427032
48,0.000425,0.000427032
49,0.000424,0.000427032
50,0.000424,0.000427032
51,0.000427,0.000427032
52,0.000426,0.000427032
53,0.000428,0.000427032
54,0.000429,0.000427032
55,0.000429,0.000427032
56,0.000431,0.000427032
57,0.000433,0.000427032
58,0.000432,0.000427032
59,0.000434,0.000427032
60,0.000435,0.000427032
61,0.000435,0.000427032
62,0.000437,0.000427034
63,0.000438,0.000427037
64,0.000439,0.000427044
65,0.000442,0.000427062
66,0.000444,0.000427103
67,0.000446,0.000427193
68,0.000449,0.000427379
69,0.000452,0.000427751
70,0.000455,0.000428464
71,0.000459,0.000429769
72,0.000464,0.000432058
73,0.00047,0.000435896
74,0.000477,0.000442046
75,0.000482,0.000451458
76,0.000489,0.000465198
77,0.0005,0.000484311
78,0.000511,0.000509596
79,0.000528,0.000541339
80,0.000558,0.000579029
81,0.000594,0.000621156
82,0.00062,0.000665159
83,0.000693,0.000707588
84,0.000754,0.00074451
85,0.000809,0.000772088
86,0.000829,0.000787237
87,0.000815,0.000788185
88,0.000782,0.000774822
89,0.000732,0.000748712
90,0.000682,0.000712801
91,0.00064,0.000670863
92,0.000605,0.000626855
93,0.000574,0.000584316
94,0.000549,0.000545938
95,0.000529,0.000513372
96,0.00051,0.000487246
97,0.000497,0.000467366
98,0.000487,0.000452981
99,0.00048,0.000443066
Final offset,Final height,Final width,Final center
0.000427032,0.000362533,4.9792,86.5652
